policy,target_rate,selected_rows,mean_true_net_gain_selected,population_true_net_gain,share_selected_with_negative_net_truth,support_risk_rate
Point estimate > cost,0.8087301587301587,1019,0.24565580655505537,0.1986692594282551,0.31305201177625125,0.13346418056918546
Lower 95% bound > cost,0.4888888888888889,616,0.47737087384530363,0.2333813161021485,0.07305194805194805,0.032467532467532464
Oracle true CATE > cost,0.5611111111111111,707,0.46915362995374915,0.26324731458515926,0.0,0.15841584158415842
