capacity_segment,need_segment,rows,dose_mean,true_marginal_effect_mean,estimated_marginal_effect_mean,true_effect_0_to_2_mean,estimated_effect_0_to_2_mean,share_estimated_positive
high capacity,higher need,244,1.6665214996273117,0.588862037402924,0.7585684219514675,1.177724074805848,1.517136843902935,0.9918032786885246
high capacity,lower need,244,0.9778275376487325,0.11957676864578044,0.2886597200002419,0.23915353729156089,0.5773194400004839,0.7991803278688525
regular capacity,higher need,421,1.2052654326330217,0.4170080694246168,0.5756370694197959,0.8340161388492336,1.1512741388395917,0.9572446555819477
regular capacity,lower need,421,0.6888090813538982,-0.003173057354133596,0.14164818877253738,-0.006346114708267192,0.28329637754507475,0.665083135391924
