high_need_segment,region_risk,rows,true_cate,t_learner_cate,manual_dr_cate,dr_forest_cate,linear_dml_cate,treatment_rate,propensity_mean,dr_forest_error,t_learner_error
0,0,527,0.29102756519799616,0.2542816981139924,0.2290774720552224,0.21387464666301226,0.2464433072072256,0.36432637571157495,0.36116867339437264,-0.0771529185349839,-0.036745867084003736
0,1,262,0.12207273967978836,0.32838326293927833,0.3133310593134568,0.2866129530052514,0.1610450930796843,0.37404580152671757,0.40271379467385404,0.16454021332546304,0.20631052325948995
1,0,205,0.4770991983773252,0.6926698777827545,0.4642919203149925,0.3233263918384332,0.403213873182104,0.751219512195122,0.7299992359523167,-0.15377280653889197,0.2155706794054293
1,1,126,0.3159186808635816,0.7291194293409948,0.5095327454509708,0.3570539659021647,0.35487311610463473,0.8095238095238095,0.7915292244883697,0.0411352850385831,0.4132007484774132
