segment_label,intent_bucket,rows,exposure_rate,estimated_cate,true_cate,error_vs_truth
power,low intent,497,0.4245472837022133,0.43665420696771484,0.5367658092481687,-0.1001116022804539
power,mid-low intent,516,0.5910852713178295,1.0045727362400676,0.9583119446039711,0.04626079163609653
power,mid-high intent,527,0.7020872865275142,1.3904741435547603,1.325067517662905,0.06540662589185531
power,high intent,564,0.8333333333333334,1.950781991605015,1.9719573059456879,-0.02117531434067277
standard,low intent,753,0.3041168658698539,-0.07801204126823391,-0.026841066392501566,-0.05117097487573234
standard,mid-low intent,734,0.4904632152588556,0.5085489251112696,0.40854406942946986,0.10000485568179973
standard,mid-high intent,723,0.5878284923928078,0.9045216079612111,0.7870519847165546,0.11746962324465648
standard,high intent,686,0.7346938775510204,1.4699185024419075,1.4398172076901141,0.03010129475179335
