contrast,outcome,estimate,cluster_se,ci_95_lower,ci_95_upper,treated_mean,control_mean,treated_n,control_n,clusters,estimate_per_1000,ci_95_lower_per_1000,ci_95_upper_per_1000,report_note
Direct focal item,Observed simulated click,0.1716152401693353,0.0156597398974956,0.1409221499702439,0.2023083303684267,0.3435215946843853,0.1719063545150501,1505,1495,3000,171.6152401693353,140.9221499702439,202.30833036842668,Promoted focal item gain.
Same-cluster competitor spillover,Observed simulated click,-0.0577145964684736,0.0084379846184557,-0.0742530463206469,-0.0411761466163003,0.1522394987236017,0.2099540951920754,4309,4139,2456,-57.7145964684736,-74.2530463206469,-41.1761466163003,Competitor or non-focal item displacement.
Displaced-item spillover,Observed simulated click,-0.056784081090499,0.0056564059444816,-0.067870636741683,-0.045697525439315,0.1817859359758801,0.2385700170663792,11277,11133,3000,-56.784081090499,-67.870636741683,-45.697525439314994,Competitor or non-focal item displacement.
All non-focal slate spillover,Observed simulated click,-0.0435851307438767,0.0046072593848268,-0.0526153591381374,-0.034554902349616,0.1705225007550589,0.2141076314989358,16555,16445,3000,-43.585130743876704,-52.6153591381374,-34.554902349616,Competitor or non-focal item displacement.
Total slate,Observed total simulated clicks,-0.3078211980133097,0.0537665200350144,-0.4132035772819381,-0.2024388187446813,2.219269102990033,2.5270903010033443,1505,1495,3000,-307.8211980133097,-413.20357728193807,-202.4388187446813,Net slate-level value after direct and spillover effects.
