n_rep_setting,rep_id,theta_hat_rep,se_rep,bias_vs_true
1,1,0.9699088782305164,0.03337378130414644,-0.030091121769483586
3,1,0.9864144294230855,0.031715665381313506,-0.013585570576914452
3,2,0.9790040276871836,0.03239291862119905,-0.020995972312816358
3,3,0.9712921056254487,0.032851763286137904,-0.028707894374551346
8,1,0.9648883651225301,0.032000774776852474,-0.03511163487746993
8,2,0.9516203791605129,0.0333042359883429,-0.0483796208394871
8,3,0.9903781480765593,0.03279909356522501,-0.009621851923440672
8,4,0.9989538019799152,0.03259160490201418,-0.0010461980200847654
8,5,0.9732477035796412,0.03246996126177711,-0.026752296420358812
8,6,1.0280019414937585,0.032958169049442154,0.028001941493758453
8,7,0.9803932512941969,0.03368343157814731,-0.019606748705803145
8,8,0.9973636361051117,0.03206604813959388,-0.002636363894888305
