estimator,design,theta_hat,std_error,ci_95_lower,ci_95_upper,true_target,bias_vs_target
RDFlex sharp RF - Conventional,sharp RDD,1.34151140380403,0.09188680753210667,1.161416570386737,1.5216062372213228,1.2,0.14151140380402993
RDFlex sharp RF - Bias-Corrected,sharp RDD,1.3745324022849634,0.09188680753210667,1.1944375688676705,1.5546272357022564,1.2,0.17453240228496347
RDFlex sharp RF - Robust,sharp RDD,1.3745324022849634,0.1063524420053496,1.1660854462865935,1.5829793582833334,1.2,0.17453240228496347
RDFlex sharp HGB - Conventional,sharp RDD,1.2726043110954892,0.08954766971575785,1.0970941035531157,1.4481145186378628,1.2,0.07260431109548926
RDFlex sharp HGB - Bias-Corrected,sharp RDD,1.3001543347663187,0.08954766971575785,1.1246441272239451,1.4756645423086923,1.2,0.10015433476631874
RDFlex sharp HGB - Robust,sharp RDD,1.3001543347663187,0.10559925992314712,1.0931835885228665,1.507125081009771,1.2,0.10015433476631874
