scenario,cf_y,cf_d,rho,level,null_hypothesis,theta_hat,theta_lower,theta_upper,ci_lower,ci_upper,rv,rva,rv_percent,rva_percent,true_theta,theta_lower_below_true,ci_lower_below_true
Modest adversarial hidden confounding,0.04,0.04,1.0,0.95,0.0,0.8920583843545278,0.851185821931266,0.9329309467777895,0.8119035776806514,0.9723480371194188,0.5784859837107122,0.5590016548684158,57.848598371071226,55.90016548684158,0.8,False,False
Observed proxy benchmark scenario,0.08061739687384509,0.09019713448950256,1.0,0.95,0.0,0.8920583843545278,0.8025539409053316,0.981562827803724,0.763239118568564,1.0211721009281076,0.5784859837107122,0.5590016548684158,57.848598371071226,55.90016548684158,0.8,False,True
