estimator,design,theta_hat,std_error,ci_95_lower,ci_95_upper,true_target,bias_vs_target
Manual local linear + covariates h=0.30,sharp RDD,1.267491496297899,0.07563064984863276,1.1192554225945788,1.415727570001219,1.2,0.06749149629789897
rdrobust sharp - Robust,sharp RDD,1.2570359072870874,,0.9883248935893896,1.5257469209847851,1.2,0.057035907287087406
RDFlex sharp RF - Robust,sharp RDD,1.3622550436279366,0.10754439401817846,1.151471904613122,1.573038182642751,1.2,0.16225504362793663
RDFlex sharp HGB - Robust,sharp RDD,1.3283553785152697,0.10788665561729768,1.1169014190928903,1.5398093379376492,1.2,0.1283553785152698
