estimator,design,theta_hat,true_target,bias_vs_target,std_error,ci_95_lower,ci_95_upper
Raw panel DID,panel,1.363478664978369,1.160607540053306,0.20287112492506298,0.019195202960476443,1.3258560671758353,1.4011012627809027
OLS on outcome change with covariates,panel,1.0753315417579312,1.160607540053306,-0.0852759982953748,0.016391000703041364,1.0432057707093993,1.107457312806463
Manual cross-fitted DR panel DID,panel,1.1701538702489174,1.160607540053306,0.009546330195611352,0.022567608351054952,1.1259213578808496,1.2143863826169852
Panel observational linear,panel,1.1716236950893215,1.160607540053306,0.011016155036015496,0.018216568067544403,1.1359198777550121,1.207327512423631
Panel observational HGB,panel,1.1712995340804984,1.160607540053306,0.010691994027192342,0.01857396307308575,1.1348952354070734,1.2077038327539233
Panel experimental HGB,panel,1.0878351196018792,1.160607540053306,-0.07277242045142684,0.0155167081259999,1.0574229305162992,1.1182473086874591
